Donut,Base,Flavor,Extras,Rating,FileName,Notes
Pon de Ring,Pon,Glazed,,S,pondering.jpg,My only gripe with Pon de Ring is that it never keeps well for more than a day...but that was before yakipon (pan-fried Pon de Ring) started trending on the internet. Now it can do no evil
Pon de Kokuto,Pon,Brown sugar,,C,pondekokuto.jpg,Where is the brown sugar? I've only ever ordered this just to try it once
Pon de Strawberry,Pon,Strawberry dip,,B,pondestrawberry.jpg,I think the strawberry glaze works better on donuts with a softer exterior
Old Fashion,Old fashion,Plain,,S,oldfashion.jpg,"Not secretly my favorite Misdo donut of all time. If you take it home you can eat it with peanut butter, or literally anything else"
Choco Fashion,Old fashion,Choco dip,,S,chocofashion.jpg,Delicious
Old Fashion Honey,Old fashion,Honey glaze,,A,oldfashionhoney.jpg,"Delicious, but sometimes too sweet"
French Cruller,Cruller,Glazed,,B,frenchcruller.jpg,I don't think I know what a French cruller is supposed to be like? The texture is a bit too airy for me
Angel French,Cruller,Choco dip,Cream center,B,angelfrench.jpg,"It's alright, I just don't have many French cruller thoughts"
Strawberry Custard French,Cruller,Strawerry dip,Custard center,B,strawberrycustard.jpg,(see previous French cruller comments)
Honey Dip,Ring,Honey glaze,,S,honeydip.jpg,"A classic glazed donut. I like how light the texture is, and it's also a magical experience when pan fried (see Pon de Ring comments)"
Sugaraised,Ring,Sugar dusting,,B,sugarized.jpg,It's..fine? I have no clue how to spell it out in English
Choco Ring,Ring,Choco dip,,A,chocoring.jpg,A solid choice every time
Strawberry Ring,Ring,Strawberry dip,,A,strawberryring.jpg,"The best application of strawberry glaze, in my opinion"
Angel Cream,Filled,Sugar dusting,Cream center,D,angelcream.jpg,Call me a hater but I do not like shelf stable whipped cream
Custard Cream,Filled,Sugar dusting,Custard center,B,custardcream.jpg,It's fine
Chocolate,Choco ring,Glazed,,B,choco.jpg,Sometimes you just want a nice chocolate donut
Double Chocolate,Choco ring,Choco dip,Choco bits,A,doublechoco.jpg,Something about it just feels so luxurious
Golden Chocolate,Choco ring,Golden crunch,,A,goldenchoco.jpg,Used to be my all time favorite. I don't get it as takeout anymore because of all the bits that fall off when you eat it...
Coconut chocolate,Choco ring,Coconut,,B,cocochoco.jpg,"It's alright, but see golden chocolate comments"
Honey Churro,Churro,Honey glaze,,D,honeychurro.jpg,Abandon all thoughts of what a churro is when you order this
Mocchiri Fruits Stick Honey,Fruits stick,Honey glaze,,D,fruitshoney.jpg,Honestly I'm not sure why this exists
Mocchiri Fruits Stick Cinnamon,Fruits stick,Cinnamon,,D,fruitscin.jpg,See fruits stick honey comments
Gobunsaki,Sakura mochitto,Strawberry dip,"Limited edition, sugar dusting, anko whip center",B,gobunsaki.jpg,Probably the tastiest one of the 2024 sakura donut collection
Mankai,Sakura mochitto,Sakura dip,"Limited edition, sakura choco flakes",B,mankai.jpg,"It's tasty, but the flakes fall off so easily (mono no aware at it's finest?)"
Maizakura,Sakura mochitto,White choco dip,"Limited edition, sakura choco flakes, anko center",A,maizakura.jpg,"I can't lie, it has higher points because of how pretty it is. Taste is fine"
Tsubomi,Sakura mochitto,Kinako,"Limited edition, mochi donut (base for Gobunsaki, Mankai, Maizakura)",B,tsubomi.jpg,It may look plain but it's quite enjoyable
Pon de Choco,Choco pon,Glazed,Limited edition,B,pondechoco.jpg,"It's fine, but nothing exciting"
Pon de Double Choco,Choco pon,Choco dip,Limited edition,C,pondedoublechoco.jpg,I feel like a double chocolate Pon de Ring should be more exciting. Why is it not more exciting?
Pikachu donut,Pokemon,Choco dip,,B,pikachu.jpg,Looks great! Ordering it is more fun than eating it...
Psyduck donut,Pokemon,Choco dip,Whipped cream center,C,psyduck.jpg,"It looks great, but see coments about the angel cream"
Pokeball donut,Pokemon,White choco dip,Strawberry sugar coating,C,pokeball.jpg,"I mean it's a good idea, but it scares me a little for some reason"
